,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,antsohihy,-14.8796,47.9875,73.89,93,100,3.02,MG,1612729965
84,mar del plata,-38.0023,-57.5575,61.0,94,90,13.8,AR,1612729673
85,yucca valley,34.1142,-116.4322,66.99,23,3,4.0,US,1612729966
86,porto torres,40.835,8.3972,53.6,71,40,6.91,IT,1612729966
87,morwell,-38.2333,146.4,57.0,73,85,1.01,AU,1612729966
88,kharan,28.5833,65.4167,55.8,29,6,4.45,PK,1612729966
89,idlib,35.9306,36.6339,57.2,77,40,11.5,SY,1612729966
90,chokurdakh,70.6333,147.9167,-18.98,87,100,8.77,RU,1612729966
91,oistins,13.0667,-59.5333,82.4,57,75,24.16,BB,1612729783
92,calbuco,-41.768,-73.1273,77.0,53,0,11.5,CL,1612729966
93,penzance,50.1186,-5.5371,37.4,65,90,19.57,GB,1612729966
94,pacific grove,36.6177,-121.9166,63.0,71,1,6.91,US,1612729966
95,vadlapudi,14.3167,79.8,66.27,84,99,1.81,IN,1612729966
96,beloha,-25.1667,45.05,75.54,91,11,7.67,MG,1612729966
97,bandarbeyla,9.4942,50.8122,75.87,78,22,18.01,SO,1612729767
98,iquique,-20.2208,-70.1431,77.0,47,0,19.57,CL,1612729883
99,manokwari,-0.8667,134.0833,78.58,78,100,2.73,ID,1612729967
100,east london,-33.0153,27.9116,71.76,84,100,8.14,ZA,1612729967
101,salalah,17.0151,54.0924,73.4,68,75,3.44,OM,1612729967
102,przasnysz,53.0191,20.8803,10.0,78,0,8.05,PL,1612729933
103,saint-philippe,-21.3585,55.7679,80.6,74,0,3.44,RE,1612729967
104,camana,-16.6228,-72.7111,74.61,72,99,5.32,PE,1612729830
105,creel,27.75,-107.6333,60.75,29,0,15.77,MX,1612729967
106,los llanos de aridane,28.6585,-17.9182,62.6,72,20,3.44,ES,1612729967
107,eyl,7.9803,49.8164,75.16,79,2,17.38,SO,1612729967
108,mogadishu,2.0371,45.3438,77.92,79,4,23.69,SO,1612729505
109,kavieng,-2.5744,150.7967,83.26,76,75,8.34,PG,1612729967
110,vermilion,40.1667,-87.7506,6.01,61,90,5.75,US,1612729967
111,iskateley,67.6803,53.1512,-17.27,87,100,16.49,RU,1612729670
112,waipawa,-41.4122,175.5153,66.99,82,75,20.71,NZ,1612729968
113,kanelovskaya,46.5908,39.19,26.98,77,100,5.48,RU,1612729968
114,nhulunbuy,-12.2333,136.7667,80.6,89,100,8.05,AU,1612729968
115,noyabrsk,63.1994,75.4507,10.51,94,98,22.64,RU,1612729968
116,kruisfontein,-34.0033,24.7314,64.99,89,97,3.0,ZA,1612729968
117,carpentras,44.0833,5.1667,44.6,87,0,2.3,FR,1612729969
118,nikolskoye,59.7035,30.7861,17.6,86,75,13.42,RU,1612729969
119,geraldton,-28.7667,114.6,66.2,88,75,16.11,AU,1612729969
120,thompson,55.7435,-97.8558,-27.4,68,75,14.97,CA,1612729809
121,tura,25.5198,90.2201,57.04,48,0,3.38,IN,1612729969
122,naze,28.3667,129.4833,57.49,65,0,9.46,JP,1612729351
123,severo-kurilsk,50.6789,156.125,15.03,88,30,8.77,RU,1612729969
124,puerto del rosario,28.5004,-13.8627,62.6,67,20,10.36,ES,1612729859
125,pisco,-13.7,-76.2167,75.2,78,0,4.61,PE,1612729969
126,atuona,-9.8,-139.0333,79.47,75,18,21.61,PF,1612729969
127,camajuani,22.4833,-79.75,89.6,48,40,9.22,CU,1612729970
128,dukat,62.55,155.55,4.68,86,100,15.21,RU,1612729928
129,mandalgovi,45.7625,106.2708,12.27,81,0,10.0,MN,1612729394
130,riyadh,24.6877,46.7219,59.0,58,0,11.5,SA,1612729707
131,clyde river,70.4692,-68.5914,-4.0,92,75,8.05,CA,1612729971
132,maceio,-9.6658,-35.7353,80.6,78,0,12.66,BR,1612729971
133,kaitangata,-46.2817,169.8464,63.0,83,100,3.0,NZ,1612729971
134,dawlatabad,36.4141,64.9053,52.52,52,47,2.84,AF,1612729971
135,avarua,-21.2078,-159.775,84.2,74,20,13.8,CK,1612729860
136,butaritari,3.0707,172.7902,80.91,80,99,20.18,KI,1612729971
137,san gabriel,34.0961,-118.1058,71.01,42,1,4.61,US,1612729855
138,tateyama,34.9833,139.8667,42.01,59,5,1.99,JP,1612729925
139,esperance,-33.8667,121.9,62.6,88,75,13.8,AU,1612729971
140,acari,-15.4311,-74.6158,78.8,59,83,10.33,PE,1612729971
